cut,ano,mes,model,n,wape,mae,rmse,y_sum,pred_sum
2023-06,2023,6,xgboost_poisson_flat,31,1.7811257647621743,0.2298226793241515,0.42643980794777386,4.0,3.9079428090569426
2023-06,2023,6,xgboost_poisson_municipal,31,1.6952608188837852,0.2187433314688755,0.4287848602133849,4.0,3.656855069987398
2023-06,2023,6,glm_poisson,31,2.240523805022212,0.2890998458093177,0.42537746426230777,4.0,6.155055934016927
2023-06,2023,6,tweedie_p1.5,31,1.975802462235369,0.25494225319166053,0.4202294185063449,4.0,4.842000813380688
2023-06,2023,6,random_forest_100,31,1.3617664743241416,0.1757118031385989,0.3929203196380137,4.0,2.344573887150175
2023-07,2023,7,naive_lag12,31,1.1714285714285715,1.3225806451612903,3.277489204234084,35.0,14.0
2023-07,2023,7,climatology_municipal,31,1.0545864661654134,1.190662139219015,2.970333915093079,35.0,9.352631578947369
2023-07,2023,7,climatology_state,31,1.0603389830508476,1.1971569163477311,3.030506028280625,35.0,9.35254237288136
2023-07,2023,7,historical_mean_3y,31,1.0952380952380953,1.2365591397849462,2.907782167325552,35.0,14.666666666666668
2023-07,2023,7,xgboost_poisson_flat,31,1.1116531323023868,1.255092246147856,3.0506277297532653,35.0,11.47483590559704
2023-07,2023,7,xgboost_poisson_municipal,31,1.0714107419648589,1.2096572893151631,3.0270270823546324,35.0,11.045919658592098
2023-07,2023,7,glm_poisson,31,1.0865625080008623,1.2267641219364573,3.002088313474882,35.0,12.995453144909748
2023-07,2023,7,tweedie_p1.5,31,1.070536873331311,1.2086706634385769,3.01980812998008,35.0,10.626132551211914
2023-07,2023,7,random_forest_100,31,1.1214538483675398,1.266157570737545,3.1000327014390057,35.0,9.785048612213298
2023-08,2023,8,naive_lag12,30,1.0,1.6666666666666667,2.6204325342711394,50.0,40.0
2023-08,2023,8,climatology_municipal,30,0.7237629858961128,1.206271643160188,1.8943741478425205,50.0,30.101633986928107
2023-08,2023,8,climatology_state,30,1.0022030981067127,1.6703384968445212,2.319877247716515,50.0,30.413080895008612
2023-08,2023,8,historical_mean_3y,30,0.7133333333333332,1.1888888888888887,1.9597807889508307,50.0,31.666666666666664
2023-08,2023,8,xgboost_poisson_flat,30,0.8372928615290921,1.3954881025484869,2.052189378080531,50.0,40.568167376282865
2023-08,2023,8,xgboost_poisson_municipal,30,0.8635290288521819,1.4392150480869697,2.1667445839753268,50.0,37.41826468041563
2023-08,2023,8,glm_poisson,30,0.9938373424182798,1.656395570697133,2.2746596187087804,50.0,31.9582767764996
2023-08,2023,8,tweedie_p1.5,30,0.9803977057620831,1.6339961762701385,2.2977507200063254,50.0,28.28823756294751
2023-08,2023,8,random_forest_100,30,0.8307659823401573,1.3846099705669288,2.127640141070918,50.0,24.42921191277293
2023-09,2023,9,naive_lag12,30,0.732484076433121,3.8333333333333335,6.0635523141692005,157.0,80.0
2023-09,2023,9,climatology_municipal,30,0.6444994401828225,3.3728804036234377,5.379900216646177,157.0,70.93804609563124
2023-09,2023,9,climatology_state,30,0.7950914110562814,4.160978384527874,6.315964240507761,157.0,70.85324232081909
2023-09,2023,9,historical_mean_3y,30,0.6496815286624203,3.4,5.266244708835067,157.0,81.66666666666666
2023-09,2023,9,xgboost_poisson_flat,30,0.6269573968708919,3.2810770436243346,5.221726047247923,157.0,85.11940094210898
2023-09,2023,9,xgboost_poisson_municipal,30,0.605744458085585,3.170062663981228,5.107125387535046,157.0,82.78509740275818
2023-09,2023,9,glm_poisson,30,0.7701326814900545,4.030361033131285,6.158675105684774,157.0,76.64513752772166
2023-09,2023,9,tweedie_p1.5,30,0.7763402365771134,4.062847238086893,6.246584486806178,157.0,70.03938366981731
2023-09,2023,9,random_forest_100,30,0.656446292592251,3.4354022645661133,5.710712694606827,157.0,63.686265017596156
2023-10,2023,10,naive_lag12,30,0.7174447174447175,9.733333333333333,16.74912933060502,407.0,243.0
2023-10,2023,10,climatology_municipal,30,0.659911853874702,8.952804150900125,15.016787342557421,407.0,205.22739938080497
2023-10,2023,10,climatology_state,30,0.9102069712239204,12.348474576271185,21.4559620162398,407.0,201.81355932203383
